entry,at,order
"The player ""elon @ 1fyB22Fjqp"" stand up with the stack of 491.00.",2022-09-08T03:42:59.053Z,166260857905302
"The player ""VAR @ a6uEwHQrRM"" stand up with the stack of 1127.23.",2022-09-08T03:42:59.053Z,166260857905301
"The player ""Poopy 2 @ fSzO7iXX-b"" stand up with the stack of 1425.49.",2022-09-08T03:42:59.053Z,166260857905300
"""Poopy 2 @ fSzO7iXX-b"" shows a 7♣, K♣, 3♥, K♥.",2022-09-08T03:42:57.251Z,166260857725100
"-- ending hand #319 --",2022-09-08T03:42:52.317Z,166260857231702
"""Poopy 2 @ fSzO7iXX-b"" collected 3.75 from pot",2022-09-08T03:42:52.317Z,166260857231701
"Uncalled bet of 3.75 returned to ""Poopy 2 @ fSzO7iXX-b""",2022-09-08T03:42:52.317Z,166260857231700
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:42:51.461Z,166260857146100
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:42:48.843Z,166260856884300
"""Poopy 2 @ fSzO7iXX-b"" raises to 5.25",2022-09-08T03:42:46.298Z,166260856629800
"""elon @ 1fyB22Fjqp"" posts a big blind of 1.50",2022-09-08T03:42:41.510Z,166260856151006
"""VAR @ a6uEwHQrRM"" posts a small blind of 0.75",2022-09-08T03:42:41.510Z,166260856151005
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1127.98) | #3 ""elon @ 1fyB22Fjqp"" (492.50) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1423.24)",2022-09-08T03:42:41.510Z,166260856151001
"-- starting hand #319  (Pot Limit Omaha Hi) (dealer: ""Poopy 2 @ fSzO7iXX-b"") --",2022-09-08T03:42:41.510Z,166260856151000
"-- ending hand #318 --",2022-09-08T03:42:35.447Z,166260855544703
"""Poopy 2 @ fSzO7iXX-b"" shows a 5♥, 3♣, 7♥, A♣.",2022-09-08T03:42:35.447Z,166260855544702
"""elon @ 1fyB22Fjqp"" collected 12.00 from pot with One Pair (combination: 8♣, 8♦, A♦, K♣, 10♠)",2022-09-08T03:42:35.447Z,166260855544701
"""elon @ 1fyB22Fjqp"" shows a 4♥, A♦, Q♠, 8♣.",2022-09-08T03:42:35.447Z,166260855544700
"""elon @ 1fyB22Fjqp"" checks",2022-09-08T03:42:34.549Z,166260855454900
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:42:33.225Z,166260855322500
"River: 6♦, 10♠, K♣, 8♦ [3♥]",2022-09-08T03:42:26.852Z,166260854685200
"""elon @ 1fyB22Fjqp"" checks",2022-09-08T03:42:26.024Z,166260854602400
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:42:24.068Z,166260854406800
"Turn: 6♦, 10♠, K♣ [8♦]",2022-09-08T03:42:18.247Z,166260853824700
"""elon @ 1fyB22Fjqp"" checks",2022-09-08T03:42:17.418Z,166260853741800
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:42:14.684Z,166260853468400
"Flop:  [6♦, 10♠, K♣]",2022-09-08T03:42:00.048Z,166260852004800
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:41:59.136Z,166260851913600
"""Poopy 2 @ fSzO7iXX-b"" calls 5.25",2022-09-08T03:41:57.814Z,166260851781400
"""elon @ 1fyB22Fjqp"" raises to 5.25",2022-09-08T03:41:55.493Z,166260851549300
"""VAR @ a6uEwHQrRM"" posts a big blind of 1.50",2022-09-08T03:41:52.618Z,166260851261806
"""Poopy 2 @ fSzO7iXX-b"" posts a small blind of 0.75",2022-09-08T03:41:52.618Z,166260851261805
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1129.48) | #3 ""elon @ 1fyB22Fjqp"" (485.75) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1428.49)",2022-09-08T03:41:52.618Z,166260851261801
"-- starting hand #318  (Pot Limit Omaha Hi) (dealer: ""elon @ 1fyB22Fjqp"") --",2022-09-08T03:41:52.618Z,166260851261800
"-- ending hand #317 --",2022-09-08T03:41:46.469Z,166260850646903
"""Poopy 2 @ fSzO7iXX-b"" shows a 2♣, 4♥, 10♥, J♣.",2022-09-08T03:41:46.469Z,166260850646902
"""VAR @ a6uEwHQrRM"" collected 6.75 from pot with Two Pair (combination: K♠, K♦, 5♠, 5♦, J♥)",2022-09-08T03:41:46.469Z,166260850646901
"""VAR @ a6uEwHQrRM"" shows a 3♥, J♥, 8♦, K♠.",2022-09-08T03:41:46.469Z,166260850646900
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:41:45.650Z,166260850565000
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:41:42.779Z,166260850277900
"River: 7♠, 5♠, A♦, 5♦ [K♦]",2022-09-08T03:41:27.657Z,166260848765700
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:41:26.830Z,166260848683000
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:41:25.325Z,166260848532500
"Turn: 7♠, 5♠, A♦ [5♦]",2022-09-08T03:41:18.799Z,166260847879900
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:41:17.954Z,166260847795400
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:41:15.661Z,166260847566100
"Flop:  [7♠, 5♠, A♦]",2022-09-08T03:41:12.594Z,166260847259400
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:41:11.662Z,166260847166200
"""Poopy 2 @ fSzO7iXX-b"" calls 3.00",2022-09-08T03:41:09.934Z,166260846993400
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:41:04.589Z,166260846458900
"""VAR @ a6uEwHQrRM"" posts a straddle of 3.00",2022-09-08T03:41:01.594Z,166260846159407
"""Poopy 2 @ fSzO7iXX-b"" posts a big blind of 1.50",2022-09-08T03:41:01.594Z,166260846159406
"""elon @ 1fyB22Fjqp"" posts a small blind of 0.75",2022-09-08T03:41:01.594Z,166260846159405
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1125.73) | #3 ""elon @ 1fyB22Fjqp"" (486.50) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1431.49)",2022-09-08T03:41:01.594Z,166260846159401
"-- starting hand #317  (Pot Limit Omaha Hi) (dealer: ""VAR @ a6uEwHQrRM"") --",2022-09-08T03:41:01.594Z,166260846159400
"-- ending hand #316 --",2022-09-08T03:40:55.590Z,166260845559002
"""elon @ 1fyB22Fjqp"" collected 1.50 from pot",2022-09-08T03:40:55.590Z,166260845559001
"Uncalled bet of 0.75 returned to ""elon @ 1fyB22Fjqp""",2022-09-08T03:40:55.590Z,166260845559000
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:40:54.678Z,166260845467800
"""Poopy 2 @ fSzO7iXX-b"" folds",2022-09-08T03:40:52.372Z,166260845237200
"""elon @ 1fyB22Fjqp"" posts a big blind of 1.50",2022-09-08T03:40:39.776Z,166260843977607
"""VAR @ a6uEwHQrRM"" posts a small blind of 0.75",2022-09-08T03:40:39.776Z,166260843977606
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1126.48) | #3 ""elon @ 1fyB22Fjqp"" (485.75) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1431.49)",2022-09-08T03:40:39.776Z,166260843977602
"-- starting hand #316  (Pot Limit Omaha Hi) (dead button) --",2022-09-08T03:40:39.776Z,166260843977601
"The player ""nate dogg @ eTki6MuODs"" stand up with the stack of 774.94.",2022-09-08T03:40:39.776Z,166260843977600
"-- ending hand #315 --",2022-09-08T03:40:33.768Z,166260843376802
"""elon @ 1fyB22Fjqp"" collected 3.00 from pot",2022-09-08T03:40:33.768Z,166260843376801
"Uncalled bet of 3.00 returned to ""elon @ 1fyB22Fjqp""",2022-09-08T03:40:33.768Z,166260843376800
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:40:32.908Z,166260843290800
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:40:30.521Z,166260843052100
"""Poopy 2 @ fSzO7iXX-b"" folds",2022-09-08T03:40:29.413Z,166260842941300
"""elon @ 1fyB22Fjqp"" raises to 4.50",2022-09-08T03:40:22.984Z,166260842298400
"""VAR @ a6uEwHQrRM"" posts a big blind of 1.50",2022-09-08T03:40:20.762Z,166260842076208
"Dead Small Blind",2022-09-08T03:40:20.762Z,166260842076207
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1127.98) | #3 ""elon @ 1fyB22Fjqp"" (484.25) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1431.49) | #6 ""nate dogg @ eTki6MuODs"" (774.94)",2022-09-08T03:40:20.762Z,166260842076202
"-- starting hand #315  (Pot Limit Omaha Hi) (dealer: ""nate dogg @ eTki6MuODs"") --",2022-09-08T03:40:20.762Z,166260842076201
"The player ""Shatz @ VsP35ZJc8d"" stand up with the stack of 430.83.",2022-09-08T03:40:20.762Z,166260842076200
"-- ending hand #314 --",2022-09-08T03:40:14.753Z,166260841475302
"""VAR @ a6uEwHQrRM"" collected 3.75 from pot",2022-09-08T03:40:14.753Z,166260841475301
"Uncalled bet of 1.50 returned to ""VAR @ a6uEwHQrRM""",2022-09-08T03:40:14.753Z,166260841475300
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:40:13.828Z,166260841382801
"The admin ""VAR @ a6uEwHQrRM"" forced the player ""Shatz @ VsP35ZJc8d"" to away mode in the next hand.",2022-09-08T03:40:13.828Z,166260841382800
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:39:56.076Z,166260839607600
"""Poopy 2 @ fSzO7iXX-b"" folds",2022-09-08T03:39:53.846Z,166260839384600
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:39:21.532Z,166260836153200
"""VAR @ a6uEwHQrRM"" posts a straddle of 3.00",2022-09-08T03:39:19.506Z,166260835950609
"""Shatz @ VsP35ZJc8d"" posts a big blind of 1.50",2022-09-08T03:39:19.506Z,166260835950608
"""nate dogg @ eTki6MuODs"" posts a small blind of 0.75",2022-09-08T03:39:19.506Z,166260835950607
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1125.73) | #3 ""elon @ 1fyB22Fjqp"" (484.25) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1431.49) | #6 ""nate dogg @ eTki6MuODs"" (775.69) | #7 ""Shatz @ VsP35ZJc8d"" (432.33)",2022-09-08T03:39:19.506Z,166260835950601
"-- starting hand #314  (Pot Limit Omaha Hi) (dealer: ""Poopy 2 @ fSzO7iXX-b"") --",2022-09-08T03:39:19.506Z,166260835950600
"""nate dogg @ eTki6MuODs"" shows a 5♣, 2♠, 4♣, 8♥.",2022-09-08T03:39:16.650Z,166260835665000
"-- ending hand #313 --",2022-09-08T03:39:12.808Z,166260835280802
"""elon @ 1fyB22Fjqp"" collected 12.00 from pot",2022-09-08T03:39:12.808Z,166260835280801
"Uncalled bet of 6.00 returned to ""elon @ 1fyB22Fjqp""",2022-09-08T03:39:12.808Z,166260835280800
"""Poopy 2 @ fSzO7iXX-b"" folds",2022-09-08T03:39:11.981Z,166260835198100
"""elon @ 1fyB22Fjqp"" bets 6.00",2022-09-08T03:38:58.696Z,166260833869600
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:38:52.726Z,166260833272600
"Flop:  [6♦, 2♣, 2♦]",2022-09-08T03:38:46.494Z,166260832649400
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:38:45.688Z,166260832568800
"""Poopy 2 @ fSzO7iXX-b"" calls 5.25",2022-09-08T03:38:33.860Z,166260831386000
"The player ""Shatz @ VsP35ZJc8d"" passed the room ownership to ""VAR @ a6uEwHQrRM"".",2022-09-08T03:38:21.860Z,166260830186000
"""elon @ 1fyB22Fjqp"" raises to 5.25",2022-09-08T03:38:21.358Z,166260830135800
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:38:12.870Z,166260829287000
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:38:07.852Z,166260828785200
"""nate dogg @ eTki6MuODs"" posts a big blind of 1.50",2022-09-08T03:38:04.569Z,166260828456909
"""Poopy 2 @ fSzO7iXX-b"" posts a small blind of 0.75",2022-09-08T03:38:04.569Z,166260828456908
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1125.73) | #3 ""elon @ 1fyB22Fjqp"" (477.50) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1436.74) | #6 ""nate dogg @ eTki6MuODs"" (777.19) | #7 ""Shatz @ VsP35ZJc8d"" (432.33)",2022-09-08T03:38:04.569Z,166260828456902
"-- starting hand #313  (Pot Limit Omaha Hi) (dealer: ""elon @ 1fyB22Fjqp"") --",2022-09-08T03:38:04.569Z,166260828456901
"The player ""joe @ Q1aYbBEstE"" quits the game with a stack of 0.00.",2022-09-08T03:38:04.569Z,166260828456900
"-- ending hand #312 --",2022-09-08T03:37:56.474Z,166260827647402
"""Poopy 2 @ fSzO7iXX-b"" collected 295.49 from pot with Flush on the second run  (combination: K♠, Q♠, J♠, 9♠, 4♠)",2022-09-08T03:37:56.474Z,166260827647401
"""Poopy 2 @ fSzO7iXX-b"" collected 295.49 from pot with Flush (combination: K♠, Q♠, J♠, 9♠, 2♠)",2022-09-08T03:37:56.474Z,166260827647400
"River (second run): J♠, 6♦, 9♠, K♦ [4♠]",2022-09-08T03:37:52.465Z,166260827246500
"River: J♠, 6♦, 9♠, K♦ [2♠]",2022-09-08T03:37:48.363Z,166260826836300
"""joe @ Q1aYbBEstE"" shows a K♥, 3♦, K♣, 9♦.",2022-09-08T03:37:44.264Z,166260826426401
"""Poopy 2 @ fSzO7iXX-b"" shows a 5♥, Q♠, 7♦, K♠.",2022-09-08T03:37:44.264Z,166260826426400
"All players in hand choose to run it twice.",2022-09-08T03:37:43.402Z,166260826340201
"""joe @ Q1aYbBEstE"" chooses to  run it twice.",2022-09-08T03:37:43.402Z,166260826340200
"""Poopy 2 @ fSzO7iXX-b"" chooses to  run it twice.",2022-09-08T03:37:42.843Z,166260826284300
"Remaining players decide whether to run it twice.",2022-09-08T03:37:42.005Z,166260826200501
"""Poopy 2 @ fSzO7iXX-b"" calls 253.49",2022-09-08T03:37:42.005Z,166260826200500
"""joe @ Q1aYbBEstE"" raises to 253.49 and go all in",2022-09-08T03:37:34.209Z,166260825420900
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:37:27.593Z,166260824759300
"""Poopy 2 @ fSzO7iXX-b"" raises to 109.25",2022-09-08T03:37:20.150Z,166260824015000
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:37:15.626Z,166260823562600
"""joe @ Q1aYbBEstE"" bets 42.00",2022-09-08T03:37:09.045Z,166260822904500
"""Shatz @ VsP35ZJc8d"" checks",2022-09-08T03:37:04.204Z,166260822420400
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:36:55.590Z,166260821559000
"""elon @ 1fyB22Fjqp"" checks",2022-09-08T03:36:53.717Z,166260821371700
"Turn: J♠, 6♦, 9♠ [K♦]",2022-09-08T03:36:50.815Z,166260821081500
"""Poopy 2 @ fSzO7iXX-b"" calls 15.75",2022-09-08T03:36:49.936Z,166260820993600
"""elon @ 1fyB22Fjqp"" calls 15.75",2022-09-08T03:36:48.974Z,166260820897400
"""joe @ Q1aYbBEstE"" calls 15.75",2022-09-08T03:36:43.020Z,166260820302000
"""Shatz @ VsP35ZJc8d"" bets 15.75",2022-09-08T03:36:41.928Z,166260820192800
"""Poopy 2 @ fSzO7iXX-b"" checks",2022-09-08T03:36:37.895Z,166260819789500
"""elon @ 1fyB22Fjqp"" checks",2022-09-08T03:36:36.054Z,166260819605400
"Flop:  [J♠, 6♦, 9♠]",2022-09-08T03:36:33.802Z,166260819380200
"""Poopy 2 @ fSzO7iXX-b"" calls 5.25",2022-09-08T03:36:32.935Z,166260819293500
"""elon @ 1fyB22Fjqp"" calls 5.25",2022-09-08T03:36:29.548Z,166260818954800
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:36:26.526Z,166260818652600
"""joe @ Q1aYbBEstE"" calls 5.25",2022-09-08T03:36:25.612Z,166260818561200
"""Shatz @ VsP35ZJc8d"" raises to 5.25",2022-09-08T03:36:24.500Z,166260818450000
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:36:20.738Z,166260818073800
"""Poopy 2 @ fSzO7iXX-b"" posts a big blind of 1.50",2022-09-08T03:36:18.784Z,166260817878409
"""elon @ 1fyB22Fjqp"" posts a small blind of 0.75",2022-09-08T03:36:18.784Z,166260817878408
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1125.73) | #3 ""elon @ 1fyB22Fjqp"" (498.50) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1120.25) | #6 ""nate dogg @ eTki6MuODs"" (777.19) | #7 ""Shatz @ VsP35ZJc8d"" (453.33) | #10 ""joe @ Q1aYbBEstE"" (274.49)",2022-09-08T03:36:18.784Z,166260817878401
"-- starting hand #312  (Pot Limit Omaha Hi) (dealer: ""VAR @ a6uEwHQrRM"") --",2022-09-08T03:36:18.784Z,166260817878400
"-- ending hand #311 --",2022-09-08T03:36:12.786Z,166260817278602
"""Poopy 2 @ fSzO7iXX-b"" collected 100.25 from pot",2022-09-08T03:36:12.786Z,166260817278601
"Uncalled bet of 50.00 returned to ""Poopy 2 @ fSzO7iXX-b""",2022-09-08T03:36:12.786Z,166260817278600
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:36:11.979Z,166260817197900
"""Poopy 2 @ fSzO7iXX-b"" bets 50.00",2022-09-08T03:35:56.899Z,166260815689900
"Turn: A♥, 5♦, 10♠ [Q♣]",2022-09-08T03:35:48.575Z,166260814857500
"""Shatz @ VsP35ZJc8d"" calls 31.00",2022-09-08T03:35:47.711Z,166260814771100
"""Poopy 2 @ fSzO7iXX-b"" bets 31.00",2022-09-08T03:35:40.663Z,166260814066300
"Flop:  [A♥, 5♦, 10♠]",2022-09-08T03:35:34.160Z,166260813416000
"""Poopy 2 @ fSzO7iXX-b"" calls 18.00",2022-09-08T03:35:33.284Z,166260813328400
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:35:32.439Z,166260813243900
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:35:26.785Z,166260812678500
"""joe @ Q1aYbBEstE"" folds",2022-09-08T03:35:25.910Z,166260812591000
"""Shatz @ VsP35ZJc8d"" raises to 18.00",2022-09-08T03:35:24.936Z,166260812493600
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:35:19.913Z,166260811991300
"""Poopy 2 @ fSzO7iXX-b"" raises to 5.25",2022-09-08T03:35:16.619Z,166260811661900
"""elon @ 1fyB22Fjqp"" posts a big blind of 1.50",2022-09-08T03:34:57.337Z,166260809733709
"""VAR @ a6uEwHQrRM"" posts a small blind of 0.75",2022-09-08T03:34:57.337Z,166260809733708
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1126.48) | #3 ""elon @ 1fyB22Fjqp"" (500.00) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1069.00) | #6 ""nate dogg @ eTki6MuODs"" (777.19) | #7 ""Shatz @ VsP35ZJc8d"" (502.33) | #10 ""joe @ Q1aYbBEstE"" (274.49)",2022-09-08T03:34:57.337Z,166260809733701
"-- starting hand #311  (Pot Limit Omaha Hi) (dealer: ""joe @ Q1aYbBEstE"") --",2022-09-08T03:34:57.337Z,166260809733700
"-- ending hand #310 --",2022-09-08T03:34:51.337Z,166260809133702
"""Poopy 2 @ fSzO7iXX-b"" collected 4.50 from pot",2022-09-08T03:34:51.337Z,166260809133701
"Uncalled bet of 4.50 returned to ""Poopy 2 @ fSzO7iXX-b""",2022-09-08T03:34:51.337Z,166260809133700
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:34:50.455Z,166260809045500
"""joe @ Q1aYbBEstE"" folds",2022-09-08T03:34:49.558Z,166260808955800
"""Poopy 2 @ fSzO7iXX-b"" bets 4.50",2022-09-08T03:34:48.491Z,166260808849100
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:34:39.378Z,166260807937800
"""joe @ Q1aYbBEstE"" checks",2022-09-08T03:34:38.510Z,166260807851000
"Flop:  [9♦, 10♦, J♦]",2022-09-08T03:34:36.730Z,166260807673000
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:34:35.872Z,166260807587200
"""joe @ Q1aYbBEstE"" calls 1.50",2022-09-08T03:34:32.764Z,166260807276400
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:34:31.730Z,166260807173000
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:34:30.802Z,166260807080200
"""Poopy 2 @ fSzO7iXX-b"" calls 1.50",2022-09-08T03:34:28.046Z,166260806804600
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:34:26.890Z,166260806689000
"""VAR @ a6uEwHQrRM"" posts a big blind of 1.50",2022-09-08T03:34:25.317Z,166260806531710
"""joe @ Q1aYbBEstE"" posts a small blind of 0.75",2022-09-08T03:34:25.317Z,166260806531709
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1127.98) | #3 ""elon @ 1fyB22Fjqp"" (500.00) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1066.00) | #6 ""nate dogg @ eTki6MuODs"" (777.19) | #7 ""Shatz @ VsP35ZJc8d"" (502.33) | #10 ""joe @ Q1aYbBEstE"" (275.99)",2022-09-08T03:34:25.317Z,166260806531702
"-- starting hand #310  (Pot Limit Omaha Hi) (dealer: ""Shatz @ VsP35ZJc8d"") --",2022-09-08T03:34:25.317Z,166260806531701
"The player ""elon @ 1fyB22Fjqp"" joined the game with a stack of 500.00.",2022-09-08T03:34:25.317Z,166260806531700
"-- ending hand #309 --",2022-09-08T03:34:19.315Z,166260805931502
"""Poopy 2 @ fSzO7iXX-b"" collected 116.00 from pot",2022-09-08T03:34:19.315Z,166260805931501
"Uncalled bet of 50.00 returned to ""Poopy 2 @ fSzO7iXX-b""",2022-09-08T03:34:19.315Z,166260805931500
"""joe @ Q1aYbBEstE"" folds",2022-09-08T03:34:18.485Z,166260805848500
"""Poopy 2 @ fSzO7iXX-b"" bets 50.00",2022-09-08T03:34:16.238Z,166260805623800
"""joe @ Q1aYbBEstE"" checks",2022-09-08T03:34:10.016Z,166260805001600
"Turn: 7♠, 2♥, 8♠ [7♣]",2022-09-08T03:34:08.514Z,166260804851400
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:34:07.663Z,166260804766300
"""joe @ Q1aYbBEstE"" calls 35.50",2022-09-08T03:34:06.525Z,166260804652500
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:34:05.393Z,166260804539300
"""Poopy 2 @ fSzO7iXX-b"" bets 35.50",2022-09-08T03:33:51.330Z,166260803133000
"""VAR @ a6uEwHQrRM"" checks",2022-09-08T03:33:47.686Z,166260802768600
"""joe @ Q1aYbBEstE"" checks",2022-09-08T03:33:46.067Z,166260802606700
"""Shatz @ VsP35ZJc8d"" checks",2022-09-08T03:33:44.401Z,166260802440100
"Flop:  [7♠, 2♥, 8♠]",2022-09-08T03:33:36.380Z,166260801638000
"""VAR @ a6uEwHQrRM"" calls 11.25",2022-09-08T03:33:35.487Z,166260801548700
"""joe @ Q1aYbBEstE"" calls 11.25",2022-09-08T03:33:32.100Z,166260801210000
"""Shatz @ VsP35ZJc8d"" calls 11.25",2022-09-08T03:33:30.179Z,166260801017900
"The admin approved the player ""elon @ 1fyB22Fjqp"" participation with a stack of 500.00.",2022-09-08T03:33:27.031Z,166260800703100
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:33:24.804Z,166260800480400
"The player ""elon @ 1fyB22Fjqp"" requested a seat.",2022-09-08T03:33:22.801Z,166260800280100
"""Poopy 2 @ fSzO7iXX-b"" raises to 11.25",2022-09-08T03:33:06.980Z,166260798698000
"""VAR @ a6uEwHQrRM"" posts a straddle of 3.00",2022-09-08T03:32:56.149Z,166260797614910
"""joe @ Q1aYbBEstE"" posts a big blind of 1.50",2022-09-08T03:32:56.149Z,166260797614909
"""Shatz @ VsP35ZJc8d"" posts a small blind of 0.75",2022-09-08T03:32:56.149Z,166260797614908
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1139.23) | #4 ""Poopy 2 @ fSzO7iXX-b"" (996.75) | #6 ""nate dogg @ eTki6MuODs"" (777.19) | #7 ""Shatz @ VsP35ZJc8d"" (513.58) | #10 ""joe @ Q1aYbBEstE"" (322.74)",2022-09-08T03:32:56.149Z,166260797614902
"-- starting hand #309  (Pot Limit Omaha Hi) (dealer: ""nate dogg @ eTki6MuODs"") --",2022-09-08T03:32:56.149Z,166260797614901
"The player ""elon @ 1fyB22Fjqp"" quits the game with a stack of 0.00.",2022-09-08T03:32:56.149Z,166260797614900
"-- ending hand #308 --",2022-09-08T03:32:50.059Z,166260797005903
"""elon @ 1fyB22Fjqp"" shows a 7♥, K♥, 5♣, 7♦.",2022-09-08T03:32:50.059Z,166260797005902
"""Poopy 2 @ fSzO7iXX-b"" collected 451.46 from pot with Straight (combination: 10♥, 9♥, 8♥, 7♠, 6♣)",2022-09-08T03:32:50.059Z,166260797005901
"""Poopy 2 @ fSzO7iXX-b"" shows a 10♥, 8♥, K♣, 3♠.",2022-09-08T03:32:50.059Z,166260797005900
"""elon @ 1fyB22Fjqp"" calls 163.87 and go all in",2022-09-08T03:32:49.245Z,166260796924500
"""Poopy 2 @ fSzO7iXX-b"" raises to 163.87",2022-09-08T03:32:46.607Z,166260796660700
"""elon @ 1fyB22Fjqp"" bets 123.72",2022-09-08T03:32:30.039Z,166260795003900
"River: 7♠, 6♣, A♣, Q♠ [9♥]",2022-09-08T03:32:26.229Z,166260794622900
"""Poopy 2 @ fSzO7iXX-b"" calls 41.24",2022-09-08T03:32:25.422Z,166260794542200
"""elon @ 1fyB22Fjqp"" bets 41.24",2022-09-08T03:32:22.457Z,166260794245700
"Turn: 7♠, 6♣, A♣ [Q♠]",2022-09-08T03:32:17.829Z,166260793782900
"""Shatz @ VsP35ZJc8d"" folds",2022-09-08T03:32:16.985Z,166260793698500
"""Poopy 2 @ fSzO7iXX-b"" calls 12.37",2022-09-08T03:32:15.697Z,166260793569700
"""elon @ 1fyB22Fjqp"" bets 12.37",2022-09-08T03:32:12.289Z,166260793228900
"""Shatz @ VsP35ZJc8d"" checks",2022-09-08T03:32:08.967Z,166260792896700
"Flop:  [7♠, 6♣, A♣]",2022-09-08T03:32:05.609Z,166260792560900
"""Shatz @ VsP35ZJc8d"" calls 5.25",2022-09-08T03:32:04.742Z,166260792474200
"""nate dogg @ eTki6MuODs"" folds",2022-09-08T03:32:03.426Z,166260792342600
"""Poopy 2 @ fSzO7iXX-b"" calls 5.25",2022-09-08T03:32:01.646Z,166260792164600
"""elon @ 1fyB22Fjqp"" raises to 5.25",2022-09-08T03:32:00.297Z,166260792029700
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:31:58.175Z,166260791817500
"""joe @ Q1aYbBEstE"" folds",2022-09-08T03:31:57.242Z,166260791724200
"""Shatz @ VsP35ZJc8d"" posts a big blind of 1.50",2022-09-08T03:31:55.206Z,166260791520609
"""nate dogg @ eTki6MuODs"" posts a small blind of 0.75",2022-09-08T03:31:55.206Z,166260791520608
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1139.23) | #3 ""elon @ 1fyB22Fjqp"" (222.73) | #4 ""Poopy 2 @ fSzO7iXX-b"" (768.02) | #6 ""nate dogg @ eTki6MuODs"" (777.94) | #7 ""Shatz @ VsP35ZJc8d"" (518.83) | #10 ""joe @ Q1aYbBEstE"" (322.74)",2022-09-08T03:31:55.206Z,166260791520601
"-- starting hand #308  (Pot Limit Omaha Hi) (dealer: ""Poopy 2 @ fSzO7iXX-b"") --",2022-09-08T03:31:55.206Z,166260791520600
